Id,Date,Nitrat level,Temperature,Humidity,Pressure,Wind_Speed,Precipitation,UV_Index,Oxygen_Level,Weather_Condition,Traffic_Condition,Road_Type,Time_of_Day,Nitrat level2
10,2023-06-27,31.306330208361633,5,32,1040,13,41,2,13,Sunny,Heavy Traffic,Highway,Afternoon,31.306330208361633
11,2023-06-27,58.25549269225221,30,32,952,12,17,8,21,Snowy,Light Traffic,Highway,Morning,58.25549269225221
12,2023-06-27,30.863743062481703,25,47,960,1,48,0,15,Snowy,Moderate Traffic,Rural Road,Evening,30.863743062481703
13,2023-06-27,40.388243260847716,6,39,975,10,10,9,21,Rainy,Heavy Traffic,Highway,Night,
14,2023-06-27,47.87916658687274,19,45,1062,1,49,6,14,Rainy,Heavy Traffic,Highway,Evening,47.87916658687274
15,2023-06-27,35.88696797485296,24,18,1068,26,19,6,13,Snowy,Heavy Traffic,Urban Road,Evening,35.88696797485296
16,2023-06-27,48.67667904349106,12,63,1093,5,22,7,30,Sunny,Moderate Traffic,Urban Road,Morning,48.67667904349106
17,2023-06-27,44.38441193390196,27,63,1028,7,32,0,28,Rainy,Moderate Traffic,Urban Road,Night,44.38441193390196
18,2023-06-27,36.114245545887776,27,90,988,18,13,8,16,Partly Cloudy,Heavy Traffic,Rural Road,Evening,36.114245545887776
19,2023-06-27,56.72641687100823,20,53,955,15,49,3,23,Rainy,Moderate Traffic,Urban Road,Night,56.72641687100823
20,2023-06-27,41.62466836324304,18,50,1080,29,20,0,20,Cloudy,Light Traffic,Rural Road,Night,41.62466836324304
21,2023-06-27,56.86889233280883,17,68,990,21,19,2,26,Rainy,Light Traffic,Rural Road,Morning,56.86889233280883
22,2023-06-27,24.54977803844139,23,35,1071,24,28,7,18,Rainy,Heavy Traffic,Urban Road,Morning,24.54977803844139
23,2023-06-27,42.09517602494038,30,49,1087,30,1,5,20,Snowy,Moderate Traffic,Highway,Evening,42.09517602494038
24,2023-06-27,45.75049066195952,13,68,1056,21,44,7,20,Sunny,Light Traffic,Rural Road,Night,45.75049066195952
25,2023-06-27,32.936710484353526,8,59,955,17,17,7,18,Cloudy,Light Traffic,Urban Road,Afternoon,
26,2023-06-27,57.03624432670003,27,29,1069,26,45,4,28,Partly Cloudy,Heavy Traffic,Urban Road,Night,57.03624432670003
27,2023-06-27,61.9991143216416,24,20,995,29,38,1,22,Cloudy,Light Traffic,Rural Road,Evening,61.9991143216416
28,2023-06-27,30.68756257345692,21,10,1029,10,33,4,27,Snowy,Moderate Traffic,Highway,Evening,30.68756257345692
29,2023-06-27,38.87429319555396,14,100,1063,8,6,8,21,Cloudy,Moderate Traffic,Highway,Evening,38.87429319555396
30,2023-06-27,40.230975627952525,25,28,1058,9,15,3,17,Partly Cloudy,Light Traffic,Highway,Evening,40.230975627952525
31,2023-06-27,19.109619224776168,16,65,982,7,5,10,29,Partly Cloudy,Moderate Traffic,Highway,Morning,19.109619224776168
32,2023-06-27,39.65927860658543,9,93,1049,30,38,4,18,Partly Cloudy,Light Traffic,Highway,Evening,39.65927860658543
33,2023-06-27,25.58972954560471,10,78,1051,3,25,8,16,Cloudy,Moderate Traffic,Urban Road,Night,25.58972954560471
34,2023-06-27,38.79239243171426,17,98,1029,13,39,0,26,Sunny,Moderate Traffic,Highway,Night,38.79239243171426
35,2023-06-27,46.952085538561164,17,12,998,18,1,5,19,Snowy,Light Traffic,Urban Road,Night,46.952085538561164
36,2023-06-27,35.15834160472454,30,23,1004,5,5,7,13,Cloudy,Moderate Traffic,Urban Road,Evening,35.15834160472454
37,2023-06-27,48.86200709034922,26,48,975,20,9,8,27,Cloudy,Heavy Traffic,Highway,Afternoon,48.86200709034922
38,2023-06-27,26.416762599186082,10,33,941,29,41,4,11,Snowy,Moderate Traffic,Highway,Afternoon,26.416762599186082
39,2023-06-27,45.5090516373865,19,27,1040,11,37,3,25,Partly Cloudy,Moderate Traffic,Rural Road,Night,45.5090516373865
