Date,Name,Nitrat level,Total Revenue,Environmental Certifications,Complaints or Violations,Environmental Expenditures,Research and Development,Government Subsidies/Incentives,Number of Employees,Temp. higher than average,Product Line,Community Engagement Level,Supplier Diversity,Nitrat level2
2023-06-27,Johnson-Young,156.34019121044577,702430873.59,Green Business,6,872971.4,70409.81,605899.68,7879,Yes,Aerospace,Low,Diverse,156.34019121044577
2023-06-27,Jackson-Davila,168.59612892015855,60052038.93,Green Business,4,911426.39,57143.81,162525.59,2954,Yes,Automotive,High,Diverse,168.59612892015855
2023-06-27,Nelson Group,91.30204896724521,587332623.65,ISO 14001,4,728291.16,89273.4,860534.57,9502,No,Pharmaceuticals,Medium,Not Diverse,91.30204896724521
2023-06-27,Patterson Inc,95.64241749552276,394872549.58,Green Business,1,70440.16,69170.27,635068.4,4126,Yes,Aerospace,High,Diverse,95.64241749552276
2023-06-27,Fernandez-Wallace,229.7275557807717,933793234.37,ISO 14001,3,734088.45,66150.92,995295.64,9680,No,Consumer Goods,High,Diverse,229.7275557807717
2023-06-27,Campbell LLC,310.5852410932544,91079255.51,LEED,5,66268.57,95101.42,254935.4,9378,Yes,Pharmaceuticals,High,Not Diverse,310.5852410932544
2023-06-27,"Collier, Macdonald and Gibson",286.39857185130154,276076218.91,ISO 14001,4,95322.46,38978.67,785155.26,8336,No,Consumer Goods,High,Not Diverse,286.39857185130154
2023-06-27,"Chang, Martinez and Shea",265.62585815188606,358255022.23,LEED,3,335476.68,37295.09,518351.02,6077,No,Aerospace,High,Not Diverse,265.62585815188606
2023-06-27,Moore-Leonard,196.85980665442528,546148743.62,Green Business,5,191182.81,64582.04,956758.86,5602,No,Automotive,Low,Diverse,196.85980665442528
2023-06-27,Holt-Davis,170.4454149391753,635717417.29,ISO 14001,9,505012.7,95287.93,261047.5,4511,No,Pharmaceuticals,Low,Not Diverse,170.4454149391753
2023-06-27,Bruce Ltd,87.51242194359043,323346926.44,Green Business,9,209040.57,45201.13,191606.66,519,No,Pharmaceuticals,Low,Diverse,203.0
2023-06-27,"Montoya, Jackson and Crane",243.82043703891514,443357820.22,ISO 14001,8,679485.88,32512.68,683120.78,4518,No,Pharmaceuticals,Low,Not Diverse,243.82043703891514
2023-06-27,Horton-Rodriguez,165.58314245337016,906669538.78,LEED,0,887878.7,37471.52,326310.18,527,Yes,Electronics,Low,Not Diverse,165.58314245337016
2023-06-27,Howard PLC,91.82719503671504,790089251.57,ISO 14001,5,660704.19,88135.34,669128.55,3244,Yes,Pharmaceuticals,High,Diverse,91.82719503671504
2023-06-27,"White, Daniel and Mack",256.26834183951064,335432257.03,Green Business,6,979397.88,30394.1,52919.28,4492,Yes,Consumer Goods,Low,Not Diverse,256.26834183951064
2023-06-27,"Smith, Vargas and Rose",295.1091164949029,732399803.18,Green Business,10,189067.48,81532.39,261115.21,8547,No,Consumer Goods,Medium,Diverse,295.1091164949029
2023-06-27,"Phelps, Romero and Thompson",164.42001838435746,568077209.21,LEED,8,646704.99,3897.09,843516.05,3783,Yes,Aerospace,Low,Not Diverse,164.42001838435746
2023-06-27,Jenkins Group,200.24776054591368,961007368.86,Green Business,4,132532.11,75804.68,634463.0,4460,No,Consumer Goods,Medium,Not Diverse,200.24776054591368
2023-06-27,Johnson-Knox,94.95957507889898,730114095.32,Green Business,2,485517.83,44716.81,556459.23,3780,No,Automotive,Low,Not Diverse,94.95957507889898
2023-06-27,"Baker, Burns and Lara",201.1300586538747,316663605.33,Green Business,0,838868.04,7501.58,417260.44,2233,No,Consumer Goods,Low,Not Diverse,201.1300586538747
2023-06-27,"Guerra, Pierce and Phillips",90.97488860233463,212496475.92,Green Business,8,733588.31,2600.09,33667.42,4318,No,Consumer Goods,Low,Not Diverse,90.97488860233463
2023-06-27,"Bradley, Orr and Underwood",310.31598934371016,709160930.92,Green Business,4,192478.73,45848.72,160050.06,8665,Yes,Automotive,Low,Not Diverse,310.31598934371016
2023-06-27,Wright Inc,228.21947446464935,661470611.39,Green Business,7,988247.35,25995.62,228191.17,253,Yes,Electronics,High,Not Diverse,228.21947446464935
2023-06-27,Blevins-Baker,161.66709151267895,137171941.26,ISO 14001,2,384586.24,62100.89,115624.37,6252,No,Automotive,Low,Diverse,161.66709151267895
